,name,scan_day,operator
381,Allen County Public Library Geneaology Center,2009-11-18,12
382,Allen County Public Library Geneaology Center,2009-11-19,13
383,Allen County Public Library Geneaology Center,2009-11-20,10
384,Allen County Public Library Geneaology Center,2009-11-21,3
385,Allen County Public Library Geneaology Center,2009-11-23,11
386,Allen County Public Library Geneaology Center,2009-11-24,11
387,Allen County Public Library Geneaology Center,2009-11-25,13
388,Allen County Public Library Geneaology Center,2009-11-30,11
389,Allen County Public Library Geneaology Center,2009-12-01,5
390,Allen County Public Library Geneaology Center,2009-12-02,12
391,Allen County Public Library Geneaology Center,2009-12-03,10
392,Allen County Public Library Geneaology Center,2009-12-04,12
393,Allen County Public Library Geneaology Center,2009-12-07,11
394,Allen County Public Library Geneaology Center,2009-12-08,10
395,Allen County Public Library Geneaology Center,2009-12-09,12
396,Allen County Public Library Geneaology Center,2009-12-10,11
397,Allen County Public Library Geneaology Center,2009-12-11,13
398,Allen County Public Library Geneaology Center,2009-12-14,10
399,Allen County Public Library Geneaology Center,2009-12-15,10
400,Allen County Public Library Geneaology Center,2009-12-16,7
401,Allen County Public Library Geneaology Center,2009-12-17,10
402,Allen County Public Library Geneaology Center,2009-12-18,7
403,Allen County Public Library Geneaology Center,2009-12-21,10
404,Allen County Public Library Geneaology Center,2009-12-22,7
405,Allen County Public Library Geneaology Center,2009-12-23,10
406,Allen County Public Library Geneaology Center,2010-01-04,13
407,Allen County Public Library Geneaology Center,2010-01-05,13
408,Allen County Public Library Geneaology Center,2010-01-06,12
409,Allen County Public Library Geneaology Center,2010-01-07,11
410,Allen County Public Library Geneaology Center,2010-01-08,13
411,Allen County Public Library Geneaology Center,2010-01-11,12
412,Allen County Public Library Geneaology Center,2010-01-12,13
413,Allen County Public Library Geneaology Center,2010-01-13,17
414,Allen County Public Library Geneaology Center,2010-01-14,9
415,Allen County Public Library Geneaology Center,2010-01-15,12
416,Allen County Public Library Geneaology Center,2010-01-18,11
417,Allen County Public Library Geneaology Center,2010-01-19,13
418,Allen County Public Library Geneaology Center,2010-01-20,12
419,Allen County Public Library Geneaology Center,2010-01-21,12
420,Allen County Public Library Geneaology Center,2010-01-22,13
421,Allen County Public Library Geneaology Center,2010-01-25,13
422,Allen County Public Library Geneaology Center,2010-01-26,11
423,Allen County Public Library Geneaology Center,2010-01-27,12
424,Allen County Public Library Geneaology Center,2010-01-28,15
425,Allen County Public Library Geneaology Center,2010-01-29,14
426,Allen County Public Library Geneaology Center,2010-02-01,12
427,Allen County Public Library Geneaology Center,2010-02-02,14
428,Allen County Public Library Geneaology Center,2010-02-03,12
429,Allen County Public Library Geneaology Center,2010-02-04,14
430,Allen County Public Library Geneaology Center,2010-02-05,14
431,Allen County Public Library Geneaology Center,2010-02-08,13
432,Allen County Public Library Geneaology Center,2010-02-09,11
433,Allen County Public Library Geneaology Center,2010-02-10,7
434,Allen County Public Library Geneaology Center,2010-02-11,12
435,Allen County Public Library Geneaology Center,2010-02-12,13
436,Allen County Public Library Geneaology Center,2010-02-16,10
437,Allen County Public Library Geneaology Center,2010-02-17,14
438,Allen County Public Library Geneaology Center,2010-02-18,13
439,Allen County Public Library Geneaology Center,2010-02-19,14
440,Allen County Public Library Geneaology Center,2010-02-22,11
441,Allen County Public Library Geneaology Center,2010-02-23,13
442,Allen County Public Library Geneaology Center,2010-02-24,16
443,Allen County Public Library Geneaology Center,2010-02-25,15
444,Allen County Public Library Geneaology Center,2010-02-26,13
445,Allen County Public Library Geneaology Center,2010-03-01,14
446,Allen County Public Library Geneaology Center,2010-03-02,13
447,Allen County Public Library Geneaology Center,2010-03-03,15
448,Allen County Public Library Geneaology Center,2010-03-04,13
449,Allen County Public Library Geneaology Center,2010-03-05,14
450,Allen County Public Library Geneaology Center,2010-03-08,13
451,Allen County Public Library Geneaology Center,2010-03-09,9
452,Allen County Public Library Geneaology Center,2010-03-10,12
453,Allen County Public Library Geneaology Center,2010-03-11,10
454,Allen County Public Library Geneaology Center,2010-03-12,13
455,Allen County Public Library Geneaology Center,2010-03-15,12
456,Allen County Public Library Geneaology Center,2010-03-16,13
457,Allen County Public Library Geneaology Center,2010-03-17,14
458,Allen County Public Library Geneaology Center,2010-03-18,11
459,Allen County Public Library Geneaology Center,2010-03-19,8
460,Allen County Public Library Geneaology Center,2010-03-22,9
461,Allen County Public Library Geneaology Center,2010-03-23,11
462,Allen County Public Library Geneaology Center,2010-03-24,13
463,Allen County Public Library Geneaology Center,2010-03-25,14
464,Allen County Public Library Geneaology Center,2010-03-26,11
465,Allen County Public Library Geneaology Center,2010-03-29,11
466,Allen County Public Library Geneaology Center,2010-03-30,14
467,Allen County Public Library Geneaology Center,2010-03-31,10
468,Allen County Public Library Geneaology Center,2010-04-01,14
469,Allen County Public Library Geneaology Center,2010-04-02,12
470,Allen County Public Library Geneaology Center,2010-04-05,14
471,Allen County Public Library Geneaology Center,2010-04-06,11
472,Allen County Public Library Geneaology Center,2010-04-07,11
473,Allen County Public Library Geneaology Center,2010-04-08,11
474,Allen County Public Library Geneaology Center,2010-04-09,12
475,Allen County Public Library Geneaology Center,2010-04-12,12
476,Allen County Public Library Geneaology Center,2010-04-13,11
477,Allen County Public Library Geneaology Center,2010-04-14,15
