,month_year,center_type,index,name,books_scanned
238,2010-06,academic,28925,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",11481
239,2010-06,bpo,1838,Hong Kong,1
240,2010-06,government,5273,Library of CongressSmithsonian Libraries and Archives,1875
241,2010-06,hq,1990,Internet Archive Headquarters,5831
242,2010-06,museum,2536,"Natural History Museum Library, London",112
243,2010-06,public,661,Allen County Public Library Geneaology CenterBoston Public Library,3172
244,2010-07,academic,28936,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",11341
245,2010-07,bpo,3122,Datum Data Co. Ltd.Hong Kong,99
246,2010-07,government,5275,Library of CongressSmithsonian Libraries and Archives,2351
247,2010-07,hq,1991,Internet Archive Headquarters,5405
248,2010-07,museum,2537,"Natural History Museum Library, London",93
249,2010-07,public,663,Allen County Public Library Geneaology CenterBoston Public Library,2342
250,2010-08,academic,28947,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",9534
251,2010-08,bpo,1284,Datum Data Co. Ltd.,286
252,2010-08,government,5277,Library of CongressSmithsonian Libraries and Archives,2981
253,2010-08,hq,1992,Internet Archive Headquarters,6058
254,2010-08,museum,2538,"Natural History Museum Library, London",140
255,2010-08,public,665,Allen County Public Library Geneaology CenterBoston Public Library,2782
256,2010-09,academic,33238,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",10676
257,2010-09,archive,1120,Church History Library,17
258,2010-09,bpo,1285,Datum Data Co. Ltd.,591
259,2010-09,government,5279,Library of CongressSmithsonian Libraries and Archives,1320
260,2010-09,hq,1993,Internet Archive Headquarters,6733
261,2010-09,museum,2539,"Natural History Museum Library, London",151
262,2010-09,public,667,Allen County Public Library Geneaology CenterBoston Public Library,5402
263,2010-10,academic,33250,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",10690
264,2010-10,archive,1121,Church History Library,103
265,2010-10,bpo,1286,Datum Data Co. Ltd.,248
266,2010-10,government,5281,Library of CongressSmithsonian Libraries and Archives,1243
267,2010-10,hq,1994,Internet Archive Headquarters,5742
268,2010-10,museum,2540,"Natural History Museum Library, London",3
269,2010-10,public,669,Allen County Public Library Geneaology CenterBoston Public Library,2749
270,2010-11,academic,33262,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",10814
271,2010-11,archive,1122,Church History Library,35
