,scan_center,lat,long,name,center_visuals_path,data_repo_link,object_location
82,CCL HYDERABAD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad,international_institute_of_information_technology_hyderabad,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/international_institute_of_information_technology_hyderabad/
83,clarksville,-76.90066207,-87.36517104,John Hopkins University Library Offsite Storage,john_hopkins_university_library_offsite_storage,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/john_hopkins_university_library_offsite_storage/
84,tt_victoria,48.46368117,-123.3096647,University of Victoria,university_of_victoria,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_victoria/
85,poughkeepsie,41.58494026,-73.8016634,Hopewell Junction,hopewell_junction,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/hopewell_junction/
86,tt_warwick,52.38191585,-1.562005427,University of Warwick,university_of_warwick,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_warwick/
87,lond,51.49684189,-0.176270642,"Natural History Museum Library, London",natural_history_museum_library_london,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/natural_history_museum_library_london/
88,alberta,53.52319337,-113.5271984,University of Alberta,university_of_alberta,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_alberta/
89,MSN,,,,nan,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/nan/
90,tt_riks,37.59104552,127.0281313,Research Institute of Korean Studies,research_institute_of_korean_studies,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/research_institute_of_korean_studies/
91,1dollarscan (zLibro),37.37455087,-121.9099017,1 Dollar Scan,1_dollar_scan,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/1_dollar_scan/
92,RMSC_IIITH,17.45672402,78.34022488,"Regional Mega Scanning Center by IIT, Hyderbad",regional_mega_scanning_center_by_iit_hyderbad,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/regional_mega_scanning_center_by_iit_hyderbad/
93,tt_stlouis,38.65014738,-90.32838852,Washington University in St. Louis,washington_university_in_st_louis,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/washington_university_in_st_louis/
94,saltlakecity,40.77200728,-111.8906814,Church History Library,church_history_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/church_history_library/
95,tt_louisville,38.25759766,-85.71422071,American Printing House for the Blind,american_printing_house_for_the_blind,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/american_printing_house_for_the_blind/
96,tt_oberlin,41.29341848,-82.22281366,Oberlin College Libraries,oberlin_college_libraries,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/oberlin_college_libraries/
97,tt_clatsopcounty,46.18852036,-123.8254003,Clatsop County Historical Society,clatsop_county_historical_society,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/clatsop_county_historical_society/
98,brussels,"40.24888001047114, -111.64850939879179",-111.66089,"BYU, Provo",byu_provo,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/byu_provo/
99,tt_harrisburg,40.2650287,-76.88065236,State Library of Pennsylvania,state_library_of_pennsylvania,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/state_library_of_pennsylvania/
100,tt_statenisland,40.64492345,-74.10271703,Staten Island Museum,staten_island_museum,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/staten_island_museum/
101,utah,40.77037084,-111.8945972,Family Search Library,family_search_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/family_search_library/
102,hbl_storrs,41.80696142,-72.25146626,University of Connecticut,university_of_connecticut,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_connecticut/
103,tt_perkins,42.36138709,-71.17525908,Perkins School for the Blind,perkins_school_for_the_blind,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/perkins_school_for_the_blind/
104,tt_harvardwidener,42.37690652,-71.11665402,Harvard,harvard,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/harvard/
105,AP Press Academy Archives,16.50612678,80.64675882,Press Academy of Andhra Pradesh,press_academy_of_andhra_pradesh,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/press_academy_of_andhra_pradesh/
